default_year,cure_12m,cure_12m_lo,cure_12m_hi,cure_12m_n,cure_12m_method,cure_ever,cure_ever_lo,cure_ever_hi,cure_ever_n,cure_ever_method,synthetic
1999,,,,0,"none: suppressed, fewer than 10 loans",,,,0,"none: suppressed, fewer than 10 loans",True
2000,0.6363636363636364,0.35379677689163724,0.8483377638586862,11,wilson_95,0.7272727272727273,0.4343497069897537,0.9025411942607853,11,wilson_95,True
2001,0.48,0.30031003928960015,0.6650178204685269,25,wilson_95,0.56,0.37067017019564436,0.7333462505299744,25,wilson_95,True
2002,0.2608695652173913,0.1254844588924897,0.4647039054375056,23,wilson_95,0.30434782608695654,0.15603828020972454,0.5086612906057261,23,wilson_95,True
2003,0.3157894736842105,0.15364171004428598,0.5398998982493537,19,wilson_95,0.3684210526315789,0.19149272376273843,0.5896084250184328,19,wilson_95,True
2004,0.4782608695652174,0.2923686953994572,0.6703757013578151,23,wilson_95,0.4782608695652174,0.2923686953994572,0.6703757013578151,23,wilson_95,True
2005,0.3548387096774194,0.21116447741565816,0.530523619571851,31,wilson_95,0.41935483870967744,0.26415303073549257,0.5923403564797902,31,wilson_95,True
2006,0.5142857142857142,0.35568539626711626,0.6700601960874726,35,wilson_95,0.6571428571428571,0.4915164687273671,0.7916850471731106,35,wilson_95,True
2007,0.43243243243243246,0.2867148684035131,0.5908609366579929,37,wilson_95,0.4594594594594595,0.31038327828457724,0.6161622047523264,37,wilson_95,True
2008,0.39622641509433965,0.27589211919038936,0.5305876421111926,53,wilson_95,0.5283018867924528,0.3965985230075645,0.6561797239101858,53,wilson_95,True
2009,0.35714285714285715,0.2445639270270599,0.4880635428266874,56,wilson_95,0.375,0.26010029646692184,0.505948739655107,56,wilson_95,True
2010,0.5925925925925926,0.4072638305536409,0.7548548662714265,27,wilson_95,0.6666666666666666,0.47824419872105484,0.8135694555640665,27,wilson_95,True
2011,0.3,0.14547527396899385,0.5189767762289793,20,wilson_95,0.45,0.25819502085709295,0.6579179916924003,20,wilson_95,True
2012,0.2727272727272727,0.1315058201581444,0.4815212369900198,22,wilson_95,0.4090909090909091,0.23255559668820378,0.6126552261710619,22,wilson_95,True
2013,0.47058823529411764,0.26164801196088106,0.6903710268845051,17,wilson_95,0.47058823529411764,0.26164801196088106,0.6903710268845051,17,wilson_95,True
2014,0.4444444444444444,0.2758559767007283,0.6268728052042312,27,wilson_95,0.5925925925925926,0.4072638305536409,0.7548548662714265,27,wilson_95,True
2015,0.3902439024390244,0.2565593521532712,0.5427341610130745,41,wilson_95,0.4146341463414634,0.2775633082533015,0.5663316464316339,41,wilson_95,True
2016,0.5625,0.33178195606776517,0.7690163666481448,16,wilson_95,0.6875,0.4440393186673406,0.8583556494803894,16,wilson_95,True
2017,0.45454545454545453,0.26920014432004846,0.6534052671095845,22,wilson_95,0.5454545454545454,0.34659473289041554,0.7307998556799515,22,wilson_95,True
2018,0.47368421052631576,0.27329505487448547,0.6829251748817489,19,wilson_95,0.47368421052631576,0.27329505487448547,0.6829251748817489,19,wilson_95,True
2019,,,,0,"none: suppressed, fewer than 10 loans",,,,0,"none: suppressed, fewer than 10 loans",True
2020,,,,0,"none: suppressed, fewer than 10 loans",,,,0,"none: suppressed, fewer than 10 loans",True
2021,0.7272727272727273,0.4343497069897537,0.9025411942607853,11,wilson_95,0.7272727272727273,0.4343497069897537,0.9025411942607853,11,wilson_95,True
2022,0.4166666666666667,0.19325746190524656,0.6804926643446272,12,wilson_95,0.5833333333333334,0.3195073356553728,0.8067425380947535,12,wilson_95,True
2023,0.5555555555555556,0.3371606942825164,0.7544076889861088,18,wilson_95,0.5555555555555556,0.3371606942825164,0.7544076889861088,18,wilson_95,True
2024,0.5,0.2537781703934222,0.7462218296065778,12,wilson_95,0.6666666666666666,0.3906175873976139,0.8618821601026385,12,wilson_95,True
2025,0.38461538461538464,0.17709446581236818,0.6447751902773146,13,wilson_95,0.38461538461538464,0.17709446581236818,0.6447751902773146,13,wilson_95,True
2026,,,,0,"none: suppressed, fewer than 10 loans",,,,0,"none: suppressed, fewer than 10 loans",True
