vintage_year,defaults_12m_primary,defaults_12m_primary_lo,defaults_12m_primary_hi,defaults_12m_primary_n,defaults_12m_primary_method,defaults_12m_naive,defaults_12m_naive_lo,defaults_12m_naive_hi,defaults_12m_naive_n,defaults_12m_naive_method,synthetic
1999,8.0,,,151,"none: population count, not an estimate",8.0,,,151,"none: population count, not an estimate",True
2000,9.0,,,196,"none: population count, not an estimate",9.0,,,196,"none: population count, not an estimate",True
2001,12.0,,,187,"none: population count, not an estimate",12.0,,,187,"none: population count, not an estimate",True
2002,11.0,,,179,"none: population count, not an estimate",11.0,,,179,"none: population count, not an estimate",True
2003,11.0,,,189,"none: population count, not an estimate",11.0,,,189,"none: population count, not an estimate",True
2004,4.0,,,185,"none: population count, not an estimate",4.0,,,185,"none: population count, not an estimate",True
2005,21.0,,,182,"none: population count, not an estimate",21.0,,,182,"none: population count, not an estimate",True
2006,10.0,,,190,"none: population count, not an estimate",10.0,,,190,"none: population count, not an estimate",True
2007,23.0,,,191,"none: population count, not an estimate",23.0,,,191,"none: population count, not an estimate",True
2008,23.0,,,180,"none: population count, not an estimate",23.0,,,180,"none: population count, not an estimate",True
2009,8.0,,,181,"none: population count, not an estimate",8.0,,,181,"none: population count, not an estimate",True
2010,9.0,,,181,"none: population count, not an estimate",9.0,,,181,"none: population count, not an estimate",True
2011,3.0,,,191,"none: population count, not an estimate",3.0,,,191,"none: population count, not an estimate",True
2012,10.0,,,164,"none: population count, not an estimate",10.0,,,164,"none: population count, not an estimate",True
2013,8.0,,,162,"none: population count, not an estimate",8.0,,,162,"none: population count, not an estimate",True
2014,14.0,,,174,"none: population count, not an estimate",14.0,,,174,"none: population count, not an estimate",True
2015,12.0,,,189,"none: population count, not an estimate",12.0,,,189,"none: population count, not an estimate",True
2016,5.0,,,80,"none: population count, not an estimate",5.0,,,80,"none: population count, not an estimate",True
2017,9.0,,,98,"none: population count, not an estimate",9.0,,,98,"none: population count, not an estimate",True
2018,7.0,,,94,"none: population count, not an estimate",7.0,,,94,"none: population count, not an estimate",True
2019,4.0,,,93,"none: population count, not an estimate",8.0,,,93,"none: population count, not an estimate",True
2020,2.0,,,99,"none: population count, not an estimate",29.0,,,99,"none: population count, not an estimate",True
2021,1.0,,,97,"none: population count, not an estimate",3.0,,,97,"none: population count, not an estimate",True
2022,6.0,,,102,"none: population count, not an estimate",6.0,,,102,"none: population count, not an estimate",True
2023,8.0,,,106,"none: population count, not an estimate",8.0,,,106,"none: population count, not an estimate",True
2024,3.0,,,58,"none: population count, not an estimate",3.0,,,58,"none: population count, not an estimate",True
2025,6.0,,,101,"none: population count, not an estimate",6.0,,,101,"none: population count, not an estimate",True
