month,year,quarter,year_quarter,is_quarter_end,economic_period,market_rate_pct,market_rate_carried_forward
1999-01-01,1999,1,1999Q1,False,pre_crisis,,False
1999-02-01,1999,1,1999Q1,False,pre_crisis,,False
1999-03-01,1999,1,1999Q1,True,pre_crisis,7.4545,False
1999-04-01,1999,2,1999Q2,False,pre_crisis,7.4545,True
1999-05-01,1999,2,1999Q2,False,pre_crisis,7.4545,True
1999-06-01,1999,2,1999Q2,True,pre_crisis,7.3545,False
1999-07-01,1999,3,1999Q3,False,pre_crisis,7.3545,True
1999-08-01,1999,3,1999Q3,False,pre_crisis,7.3545,True
1999-09-01,1999,3,1999Q3,True,pre_crisis,7.383,False
1999-10-01,1999,4,1999Q4,False,pre_crisis,7.383,True
1999-11-01,1999,4,1999Q4,False,pre_crisis,7.383,True
1999-12-01,1999,4,1999Q4,True,pre_crisis,7.432,False
2000-01-01,2000,1,2000Q1,False,pre_crisis,7.432,True
2000-02-01,2000,1,2000Q1,False,pre_crisis,7.432,True
2000-03-01,2000,1,2000Q1,True,pre_crisis,8.049,False
2000-04-01,2000,2,2000Q2,False,pre_crisis,8.049,True
2000-05-01,2000,2,2000Q2,False,pre_crisis,8.049,True
2000-06-01,2000,2,2000Q2,True,pre_crisis,8.0135,False
2000-07-01,2000,3,2000Q3,False,pre_crisis,8.0135,True
2000-08-01,2000,3,2000Q3,False,pre_crisis,8.0135,True
2000-09-01,2000,3,2000Q3,True,pre_crisis,8.1075,False
2000-10-01,2000,4,2000Q4,False,pre_crisis,8.1075,True
2000-11-01,2000,4,2000Q4,False,pre_crisis,8.1075,True
2000-12-01,2000,4,2000Q4,True,pre_crisis,7.93,False
2001-01-01,2001,1,2001Q1,False,pre_crisis,7.93,True
2001-02-01,2001,1,2001Q1,False,pre_crisis,7.93,True
2001-03-01,2001,1,2001Q1,True,pre_crisis,7.009499999999999,False
2001-04-01,2001,2,2001Q2,False,pre_crisis,7.009499999999999,True
2001-05-01,2001,2,2001Q2,False,pre_crisis,7.009499999999999,True
2001-06-01,2001,2,2001Q2,True,pre_crisis,6.962,False
2001-07-01,2001,3,2001Q3,False,pre_crisis,6.962,True
2001-08-01,2001,3,2001Q3,False,pre_crisis,6.962,True
2001-09-01,2001,3,2001Q3,True,pre_crisis,7.006,False
2001-10-01,2001,4,2001Q4,False,pre_crisis,7.006,True
2001-11-01,2001,4,2001Q4,False,pre_crisis,7.006,True
2001-12-01,2001,4,2001Q4,True,pre_crisis,6.976,False
2002-01-01,2002,1,2002Q1,False,pre_crisis,6.976,True
2002-02-01,2002,1,2002Q1,False,pre_crisis,6.976,True
2002-03-01,2002,1,2002Q1,True,pre_crisis,6.57,False
2002-04-01,2002,2,2002Q2,False,pre_crisis,6.57,True
2002-05-01,2002,2,2002Q2,False,pre_crisis,6.57,True
2002-06-01,2002,2,2002Q2,True,pre_crisis,6.5615000000000006,False
2002-07-01,2002,3,2002Q3,False,pre_crisis,6.5615000000000006,True
2002-08-01,2002,3,2002Q3,False,pre_crisis,6.5615000000000006,True
2002-09-01,2002,3,2002Q3,True,pre_crisis,6.596,False
2002-10-01,2002,4,2002Q4,False,pre_crisis,6.596,True
2002-11-01,2002,4,2002Q4,False,pre_crisis,6.596,True
