reporting_date,in_sample,stage,grade,n_loans,ead,ead_lo,ead_hi,ead_n,ead_method,ecl,ecl_lo,ecl_hi,ecl_n,ecl_method,coverage,coverage_lo,coverage_hi,coverage_n,coverage_method,synthetic
1999-12-01,True,1,E,18,3702317.5700000003,,,18,"none: population count, not an estimate",13305.26453705289,11974.738083347602,14635.790990758178,18,synthetic fixture interval,0.003593766414006697,0.003234389772606027,0.003953143055407366,18,synthetic fixture interval,True
1999-12-01,True,1,F,23,4552145.87,,,23,"none: population count, not an estimate",30920.426217821274,27828.383596039144,34012.4688396034,23,synthetic fixture interval,0.006792494595042771,0.006113245135538493,0.007471744054547048,23,synthetic fixture interval,True
1999-12-01,True,1,G,75,14928736.53,,,75,"none: population count, not an estimate",389201.8332980338,350281.6499682304,428122.0166278372,75,synthetic fixture interval,0.02607064787538546,0.023463583087846913,0.02867771266292401,75,synthetic fixture interval,True
2000-12-01,True,1,E,34,7199220.58,,,34,"none: population count, not an estimate",26065.28307612077,23458.754768508694,28671.811383732846,34,synthetic fixture interval,0.003620570141791762,0.0032585131276125856,0.003982627155970938,34,synthetic fixture interval,True
2000-12-01,True,1,F,51,9602232.0,,,51,"none: population count, not an estimate",63610.72431882196,57249.65188693976,69971.79675070415,51,synthetic fixture interval,0.006624576902414143,0.005962119212172728,0.007287034592655557,51,synthetic fixture interval,True
2000-12-01,True,1,G,162,32429741.55,,,162,"none: population count, not an estimate",982216.9987465747,883995.2988719173,1080438.6986212323,162,synthetic fixture interval,0.03028753705089502,0.027258783345805518,0.03331629075598452,162,synthetic fixture interval,True
2000-12-01,True,2,G,11,2162826.52,,,11,"none: population count, not an estimate",369286.3726667791,332357.73540010117,406215.009933457,11,synthetic fixture interval,0.17074248408364212,0.1536682356752779,0.18781673249200634,11,synthetic fixture interval,True
2001-12-01,True,1,D,17,3229190.53,,,17,"none: population count, not an estimate",5242.57922444847,4718.321302003623,5766.837146893317,17,synthetic fixture interval,0.0016234964074567846,0.001461146766711106,0.001785846048202463,17,synthetic fixture interval,True
2001-12-01,True,1,E,40,8733805.41,,,40,"none: population count, not an estimate",30913.396563966468,27822.056907569822,34004.73622036311,40,synthetic fixture interval,0.003539510569879581,0.003185559512891623,0.003893461626867539,40,synthetic fixture interval,True
2001-12-01,True,1,F,61,11596913.87,,,61,"none: population count, not an estimate",77582.2262121064,69824.00359089577,85340.44883331703,61,synthetic fixture interval,0.006689902769115453,0.006020912492203908,0.007358893046026998,61,synthetic fixture interval,True
2001-12-01,True,1,G,186,35501306.76,,,186,"none: population count, not an estimate",971428.1176510616,874285.3058859555,1068570.9294161678,186,synthetic fixture interval,0.02736316508623813,0.024626848577614317,0.030099481594861942,186,synthetic fixture interval,True
2001-12-01,True,2,G,13,2591034.33,,,13,"none: population count, not an estimate",321536.81036716147,289383.1293304453,353690.4914038776,13,synthetic fixture interval,0.12409592827246001,0.111686335445214,0.136505521099706,13,synthetic fixture interval,True
2001-12-01,True,3,G,17,4479937.08,,,17,"none: population count, not an estimate",1254382.3824000002,1128944.1441600001,1379820.6206400003,17,synthetic fixture interval,0.28,0.252,0.30800000000000005,17,synthetic fixture interval,True
2002-12-01,True,1,D,16,3487513.85,,,16,"none: population count, not an estimate",5662.055841718509,5095.850257546658,6228.26142589036,16,synthetic fixture interval,0.0016235221092293322,0.001461169898306399,0.0017858743201522656,16,synthetic fixture interval,True
2002-12-01,True,1,E,31,5380141.34,,,31,"none: population count, not an estimate",18297.300669797518,16467.570602817766,20127.03073677727,31,synthetic fixture interval,0.003400895908395878,0.0030608063175562904,0.003740985499235466,31,synthetic fixture interval,True
2002-12-01,True,1,F,86,16654944.32,,,86,"none: population count, not an estimate",110002.91135705158,99002.62022134641,121003.20249275674,86,synthetic fixture interval,0.006604820120890778,0.005944338108801701,0.007265302132979856,86,synthetic fixture interval,True
2002-12-01,True,1,G,203,38938017.65,,,203,"none: population count, not an estimate",1025045.1301722161,922540.6171549945,1127549.6431894377,203,synthetic fixture interval,0.026325046626307032,0.023692541963676327,0.028957551288937736,203,synthetic fixture interval,True
