reporting_date,reason,n_loans,share_of_stage2,share_of_stage2_lo,share_of_stage2_hi,share_of_stage2_n,share_of_stage2_method,synthetic
2002-12-01,pd_deterioration,11,0.4583333333333333,0.2789105835168143,0.6492544644689336,24,wilson_95,True
2003-12-01,pd_deterioration,11,0.44,0.2666537494700256,0.6293298298043557,25,wilson_95,True
2004-12-01,pd_deterioration,14,0.5384615384615384,0.3545763620443012,0.712444173047651,26,wilson_95,True
2006-12-01,cure_probation,10,0.2631578947368421,0.14971462389701296,0.42009150206375323,38,wilson_95,True
2006-12-01,dpd30_backstop,11,0.2894736842105263,0.17003106263656131,0.44757438266189764,38,wilson_95,True
2006-12-01,pd_deterioration,17,0.4473684210526316,0.3014616531155089,0.6029397082091058,38,wilson_95,True
2007-12-01,cure_probation,10,0.30303030303030304,0.17375347814547223,0.4733845397473445,33,wilson_95,True
2007-12-01,dpd30_backstop,15,0.45454545454545453,0.298426891258915,0.6201434205625044,33,wilson_95,True
2008-12-01,cure_probation,15,0.375,0.2422277353579172,0.529678399454681,40,wilson_95,True
2008-12-01,dpd30_backstop,16,0.4,0.2634811061240136,0.5540438017260649,40,wilson_95,True
2009-12-01,cure_probation,13,0.41935483870967744,0.26415303073549257,0.5923403564797902,31,wilson_95,True
2009-12-01,pd_deterioration,12,0.3870967741935484,0.23732875351271562,0.5617619885886803,31,wilson_95,True
2010-12-01,dpd30_backstop,16,0.43243243243243246,0.2867148684035131,0.5908609366579929,37,wilson_95,True
2010-12-01,pd_deterioration,12,0.32432432432432434,0.19633077820815478,0.48536631495176064,37,wilson_95,True
2011-12-01,cure_probation,10,0.45454545454545453,0.26920014432004846,0.6534052671095845,22,wilson_95,True
2016-12-01,dpd30_backstop,10,0.38461538461538464,0.22428359511834428,0.5746547996057992,26,wilson_95,True
2017-12-01,dpd30_backstop,13,0.48148148148148145,0.3074295064970908,0.6601467541378958,27,wilson_95,True
2020-12-01,dpd30_backstop,57,0.7916666666666666,0.6843051941004199,0.8694805910095988,72,wilson_95,True
