default_year,resolution,n_defaults,share,share_lo,share_hi,share_n,share_method,synthetic
2001,credit_event_loss,11,0.44,0.2666537494700256,0.6293298298043557,25,wilson_95,True
2001,paid_off,10,0.4,0.23403057664190918,0.5926087221487266,25,wilson_95,True
2002,credit_event_loss,12,0.5217391304347826,0.3296242986421849,0.7076313046005427,23,wilson_95,True
2005,credit_event_loss,16,0.5161290322580645,0.34840118286973176,0.6803001396872117,31,wilson_95,True
2005,paid_off,11,0.3548387096774194,0.21116447741565816,0.530523619571851,31,wilson_95,True
2006,credit_event_loss,14,0.4,0.25550504933307244,0.5642758041848053,35,wilson_95,True
2006,paid_off,15,0.42857142857142855,0.27984333081678914,0.5914287074102662,35,wilson_95,True
2007,credit_event_loss,15,0.40540540540540543,0.26346295839940137,0.565143168686707,37,wilson_95,True
2007,paid_off,16,0.43243243243243246,0.2867148684035131,0.5908609366579929,37,wilson_95,True
2008,credit_event_loss,27,0.5094339622641509,0.3788330425329779,0.6387597064396054,53,wilson_95,True
2008,paid_off,22,0.41509433962264153,0.2926070830912865,0.5490581761554623,53,wilson_95,True
2009,credit_event_loss,29,0.5178571428571429,0.3901016225125491,0.6433199437557326,56,wilson_95,True
2009,paid_off,21,0.375,0.26010029646692184,0.505948739655107,56,wilson_95,True
2010,paid_off,16,0.5925925925925926,0.4072638305536409,0.7548548662714265,27,wilson_95,True
2011,credit_event_loss,10,0.5,0.2992949144298199,0.7007050855701801,20,wilson_95,True
2012,credit_event_loss,11,0.5,0.3072180469247956,0.6927819530752044,22,wilson_95,True
2014,credit_event_loss,10,0.37037037037037035,0.21532287067936856,0.5577109537655369,27,wilson_95,True
2014,paid_off,12,0.4444444444444444,0.2758559767007283,0.6268728052042312,27,wilson_95,True
2015,credit_event_loss,22,0.5365853658536586,0.38746215345974366,0.6794400088181413,41,wilson_95,True
2015,paid_off,14,0.34146341463414637,0.2155861736664346,0.4945044564627312,41,wilson_95,True
