period,n_active_loans,total_upb,n_dpd30p,upb_dpd30p,n_dpd90p,upb_dpd90p,n_at_risk_start,n_new_defaults,n_prepaid,upb_prepaid,n_credit_event_exits,net_loss,delinquency_rate_30p,delinquency_rate_90p,default_rate,loss_rate
1999-02-01,30,6691000.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,,0.0
1999-03-01,30,6682314.890000001,0,0.0,0,0.0,30,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
1999-04-01,30,6673579.04,0,0.0,0,0.0,30,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
1999-05-01,66,12613792.04,0,0.0,0,0.0,30,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
1999-06-01,65,12381129.15,2,310000.0,0,0.0,66,0,1,217408.32,0,0.0,0.025038104056930865,0.0,0.0,0.0
1999-07-01,63,11805095.17,3,442610.1,0,0.0,65,0,2,561236.72,0,0.0,0.03749314119252458,0.0,0.0,0.0
1999-08-01,105,20213127.91,3,557261.87,1,168000.0,63,1,1,409311.05,0,0.0,0.027569304091936555,0.008311430113539513,0.015873015873015872,0.0
1999-09-01,104,20014950.57,2,253480.1,1,132610.1,104,1,0,0.0,0,0.0,0.012664537896982676,0.006625552210894119,0.009615384615384616,0.0
1999-10-01,102,19581386.27,3,643695.36,1,132610.1,102,0,2,409503.66000000003,0,0.0,0.032872818661781086,0.006772252902398825,0.0,0.0
1999-11-01,142,28574115.95,5,911421.74,1,132610.1,100,0,2,360137.99,0,0.0,0.031896760746503515,0.00464091698347014,0.0,0.0
1999-12-01,135,27251457.080000002,8,1793450.47,2,400437.19999999995,140,1,7,1291225.74,0,0.0,0.06581117716880626,0.01469415741053652,0.007142857142857143,0.0
2000-01-01,130,26444773.01,6,1317251.31,4,800130.88,132,2,5,776797.1499999999,0,0.0,0.049811405433576074,0.030256674152485,0.015151515151515152,0.0
2000-02-01,172,34464587.53,8,1994058.93,4,800130.88,125,0,2,488336.64,0,0.0,0.057858198020337655,0.02321602947673519,0.0,0.0
2000-03-01,170,34041890.48,7,1588481.18,2,476542.83999999997,167,0,2,388986.86,0,0.0,0.046662543049224924,0.013998718440151683,0.0,0.0
2000-04-01,167,33389741.97,9,1974197.1199999999,4,1182825.6099999999,165,2,2,479657.95999999996,0,0.0,0.05912585732988819,0.03542482032543841,0.012121212121212121,0.0
2000-05-01,216,43494525.03,10,2165088.83,6,1441825.6099999999,161,2,1,437500.71,0,0.0,0.049778422192371274,0.03314958857478067,0.012422360248447204,0.0
2000-06-01,209,42228507.01,7,1670148.64,6,1347148.64,208,1,7,1219824.18,0,0.0,0.03955026493369745,0.03190140346853811,0.004807692307692308,0.0
2000-07-01,204,41031826.21,8,1903546.58,6,1347148.64,200,0,5,1150458.33,0,0.0,0.04639195365708779,0.03283179825107765,0.0,0.0
2000-08-01,242,49114349.26,8,1796442.1099999999,5,1085825.77,195,1,6,1148554.99,1,27155.48,0.03657672629418444,0.022108116800079947,0.005128205128205128,0.0005529031822501643
2000-09-01,235,47697521.44,7,1532732.48,5,1085825.77,233,0,7,1363288.53,0,0.0,0.03213442614472254,0.022764825869744397,0.0,0.0
2000-10-01,230,46489880.15,9,2191271.41,4,888016.74,226,1,5,1158893.19,0,0.0,0.047134374253705195,0.01910129123015173,0.004424778761061947,0.0
2000-11-01,282,56357943.43,11,2576051.43,5,1173016.74,220,1,4,633844.78,0,0.0,0.04570875502580418,0.020813689581433332,0.004545454545454545,0.0
2000-12-01,277,55283560.33,10,2289907.0,4,851772.24,271,1,4,748623.86,1,29957.03,0.04142112024498839,0.01540733329972925,0.0036900369003690036,0.0005418795356373532
2001-01-01,271,54139656.04,13,2960479.64,5,1250839.01,266,1,6,1084376.37,0,0.0,0.054682276477942694,0.02310393344715457,0.0037593984962406013,0.0
2001-02-01,295,58846588.33,15,3643667.34,6,1484828.88,259,1,7,1808263.47,0,0.0,0.06191807279577596,0.025232199897016527,0.003861003861003861,0.0
2001-03-01,287,57242103.43,17,3676022.95,9,2124675.1,282,3,7,1333944.38,0,0.0,0.06421886565533569,0.03711734846708096,0.010638297872340425,0.0
2001-04-01,276,55222866.31,16,3583933.15,10,2447269.62,271,3,11,1956666.17,0,0.0,0.0648994409287119,0.04431623679694507,0.01107011070110701,0.0
2001-05-01,321,64700266.74,15,3711559.87,9,2076099.69,257,1,7,1675759.39,0,0.0,0.05736544927882627,0.03208796183704883,0.0038910505836575876,0.0
2001-06-01,313,62715095.41,17,4029729.52,11,2568112.91,301,3,8,1910378.55,0,0.0,0.06425453861874306,0.04094887990221428,0.009966777408637873,0.0
2001-07-01,302,60866931.11,17,4077473.12,11,2973247.21,290,2,9,1453391.83,2,134472.51,0.0669899573650445,0.048848318056757045,0.006896551724137931,0.0022092868417659902
2001-08-01,347,69093335.57,17,3832080.89,10,2407780.49,280,0,9,1573853.41,0,0.0,0.05546238082712961,0.03484823058745839,0.0,0.0
2001-09-01,337,66951532.53,19,4265755.48,11,2513508.34,325,3,9,1771550.25,1,124571.15,0.06371408269241004,0.037542207698886255,0.009230769230769232,0.0018606168565922145
2001-10-01,323,64745361.75,22,5427368.97,13,2903785.32,313,2,14,2123421.4,0,0.0,0.08382637494492028,0.044849318028561326,0.006389776357827476,0.0
2001-11-01,360,72009642.69,20,4859217.57,16,3725173.23,298,4,13,2795444.15,0,0.0,0.06748009556051861,0.05173158886563002,0.013422818791946308,0.0
2001-12-01,344,68461516.62,23,5639456.22,18,4698938.14,332,2,15,3370686.09,0,0.0,0.08237410589809395,0.06863619697591208,0.006024096385542169,0.0
2002-01-01,333,66316380.58,27,6418067.54,17,4537434.38,315,0,10,1898613.49,1,23910.56,0.09677952089465496,0.0684210196683807,0.0,0.0003605528497013762
2002-02-01,377,76054257.69,23,5789114.34,16,4465161.29,305,0,7,2063517.28,0,0.0,0.07611821501955415,0.0587102080228061,0.0,0.0
2002-03-01,364,73562418.31,25,6135512.08,19,4836900.17,349,5,12,2001837.51,1,198082.59,0.0834055244641943,0.06575232681471643,0.014326647564469915,0.002692714494040401
2002-04-01,351,70881313.61,27,6644441.71,17,4599850.52,332,1,11,2276363.27,2,93195.13,0.09374038616945998,0.06489510825531665,0.0030120481927710845,0.0013148053450698458
2002-05-01,381,76761235.46,24,5933692.96,18,4789007.23,321,4,12,2217704.69,1,70027.13,0.07730064432185992,0.06238835528507791,0.012461059190031152,0.0009122720547728924
2002-06-01,368,73372642.81,18,4887634.43,15,4107920.5,351,1,11,2865348.9,1,48883.68,0.06661385283145152,0.055987086503583444,0.002849002849002849,0.0006662385069948389
2002-07-01,364,72624548.96,25,6007127.63,15,4107920.5,340,0,4,648702.0900000001,0,0.0,0.08271483563097368,0.056563800516854876,0.0,0.0
2002-08-01,396,78633233.42,22,5396966.55,16,4485943.17,336,3,12,2607889.38,1,21091.51,0.06863467665348867,0.0570489470532064,0.008928571428571428,0.00026822641118348655
2002-09-01,385,75229249.67,26,5869690.92,19,4379766.28,366,4,10,2574664.7199999997,1,130180.9,0.078024052423066,0.05821892813250493,0.01092896174863388,0.001730455914036767
2002-10-01,377,73633301.22,23,5025281.68,18,4209226.28,353,0,8,1497131.99,0,0.0,0.06824740432301915,0.05716470958464519,0.0,0.0
