period,cpr,cpr_lo,cpr_hi,cpr_n,cpr_method,synthetic
1999-12-01,0.42586916557732946,,,135,none: balance-weighted rate of the whole book,True
2000-12-01,0.14825551147781035,,,277,none: balance-weighted rate of the whole book,True
2001-12-01,0.43745119678849476,,,344,none: balance-weighted rate of the whole book,True
2002-12-01,0.40789053361503813,,,387,none: balance-weighted rate of the whole book,True
2003-12-01,0.4257160809816589,,,396,none: balance-weighted rate of the whole book,True
2004-12-01,0.25001168482602465,,,419,none: balance-weighted rate of the whole book,True
2005-12-01,0.1838611967648931,,,456,none: balance-weighted rate of the whole book,True
2006-12-01,0.3005003617178035,,,513,none: balance-weighted rate of the whole book,True
2007-12-01,0.1799488720685154,,,535,none: balance-weighted rate of the whole book,True
2008-12-01,0.20815279098934714,,,532,none: balance-weighted rate of the whole book,True
2009-12-01,0.24496114184819073,,,485,none: balance-weighted rate of the whole book,True
2010-12-01,0.22017936908797886,,,461,none: balance-weighted rate of the whole book,True
2011-12-01,0.3713200755472268,,,447,none: balance-weighted rate of the whole book,True
2012-12-01,0.3546823089743065,,,383,none: balance-weighted rate of the whole book,True
2013-12-01,0.2670973384421117,,,378,none: balance-weighted rate of the whole book,True
2014-12-01,0.17261906556237472,,,426,none: balance-weighted rate of the whole book,True
2015-12-01,0.18319874721499874,,,457,none: balance-weighted rate of the whole book,True
2016-12-01,0.3376741700068858,,,396,none: balance-weighted rate of the whole book,True
2017-12-01,0.08601625440091354,,,372,none: balance-weighted rate of the whole book,True
2018-12-01,0.277569218419337,,,350,none: balance-weighted rate of the whole book,True
2019-12-01,0.2368189523758294,,,328,none: balance-weighted rate of the whole book,True
2020-12-01,0.11381765164000313,,,333,none: balance-weighted rate of the whole book,True
2021-12-01,0.39090783544380103,,,303,none: balance-weighted rate of the whole book,True
2022-12-01,0.2259598364865606,,,318,none: balance-weighted rate of the whole book,True
2023-12-01,0.17347915888967191,,,325,none: balance-weighted rate of the whole book,True
2024-12-01,0.26746021239030116,,,296,none: balance-weighted rate of the whole book,True
2025-12-01,0.14735684244588299,,,313,none: balance-weighted rate of the whole book,True
