period_group,from_bucket,rate,rate_lo,rate_hi,rate_n,rate_method,synthetic
covid,dpd_30,0.10457516339869281,0.06539990814970786,0.16312109648171647,153,wilson_95,True
covid,dpd_60,0.050359712230215826,0.024605238882088647,0.10029955075902428,139,wilson_95,True
covid,dpd_90p,0.2471264367816092,0.2120596090492255,0.2858880618843789,522,wilson_95,True
crisis,dpd_30,0.4413919413919414,0.4002941471244688,0.483308694130176,546,wilson_95,True
crisis,dpd_60,0.2564935064935065,0.2109309220125902,0.3080556403960173,308,wilson_95,True
crisis,dpd_90p,0.06988082340195016,0.059121619713015584,0.0824264998665203,1846,wilson_95,True
pre_crisis,dpd_30,0.47863247863247865,0.433731599899914,0.5238812939186894,468,wilson_95,True
pre_crisis,dpd_60,0.2375,0.1880618432234884,0.2952092639214778,240,wilson_95,True
pre_crisis,dpd_90p,0.07398568019093078,0.06077746942769767,0.0897898976388712,1257,wilson_95,True
recent,dpd_30,0.44047619047619047,0.36756785867748865,0.5160458879356714,168,wilson_95,True
recent,dpd_60,0.26881720430107525,0.1892118216186081,0.36676412260370955,93,wilson_95,True
recent,dpd_90p,0.09285714285714286,0.06867085341531803,0.12442392538883901,420,wilson_95,True
recovery,dpd_30,0.41851106639839036,0.3759269805409535,0.46234523965800767,497,wilson_95,True
recovery,dpd_60,0.2881944444444444,0.23894335969829233,0.3430216514584447,288,wilson_95,True
recovery,dpd_90p,0.07878787878787878,0.0661467349955988,0.09360269704606365,1485,wilson_95,True
