sample,definition,grade,n,mean_pd,realised_rate,realised_rate_lo,realised_rate_hi,realised_rate_n,realised_rate_method,result,synthetic
dev_test,primary,D,26,0.006300356244309719,0.0,0.0,0.09124656340895627,26,jeffreys_95,INSUFFICIENT,True
dev_test,primary,E,83,0.012335090793366879,0.024096385542168676,0.005040395299359698,0.07505062988501505,83,jeffreys_95,INSUFFICIENT,True
dev_test,primary,F,145,0.024254347710174505,0.013793103448275862,0.002877036700972982,0.04350661035752755,145,jeffreys_95,INSUFFICIENT,True
dev_test,primary,G,641,0.13101959370225988,0.07956318252730109,0.06049435683668078,0.10241656707382951,641,jeffreys_95,FAIL,True
oot,primary,D,20,0.00592970261649815,0.05,0.005449032581426599,0.2108186362492652,20,jeffreys_95,INSUFFICIENT,True
oot,primary,E,58,0.012308724260443717,0.017241379310344827,0.0018666435126974891,0.07775299185460914,58,jeffreys_95,INSUFFICIENT,True
oot,primary,F,101,0.023296297615474446,0.009900990099009901,0.0010703768005596204,0.04533496210032598,101,jeffreys_95,INSUFFICIENT,True
oot,primary,G,294,0.11503723171140998,0.10884353741496598,0.07709141114960291,0.14824730367596278,294,jeffreys_95,FAIL,True
covid,primary,D,11,0.005958548607109251,0.0,0.0,0.199994569026208,11,jeffreys_95,INSUFFICIENT,True
covid,primary,E,35,0.012436209317261304,0.0,0.0,0.06877653611605908,35,jeffreys_95,INSUFFICIENT,True
covid,primary,F,60,0.023909734984750946,0.016666666666666666,0.0018042161883804412,0.07525068954887798,60,jeffreys_95,INSUFFICIENT,True
covid,primary,G,151,0.10278954616654566,0.026490066225165563,0.009006136331640109,0.061745579126618606,151,jeffreys_95,INSUFFICIENT,True
oot_and_covid,primary,C,14,0.0034146709055344012,0.0,0.0,0.16155330451419395,14,jeffreys_95,INSUFFICIENT,True
oot_and_covid,primary,D,31,0.00593993829058596,0.03225806451612903,0.0035029184213059795,0.14103799412369988,31,jeffreys_95,INSUFFICIENT,True
oot_and_covid,primary,E,93,0.012356702507633132,0.010752688172043012,0.0011626478353177192,0.04914774149855468,93,jeffreys_95,INSUFFICIENT,True
oot_and_covid,primary,F,161,0.02352490781520482,0.012422360248447204,0.002590148451087133,0.039248966785062435,161,jeffreys_95,INSUFFICIENT,True
oot_and_covid,primary,G,445,0.11088127549281557,0.08089887640449438,0.058258681281008355,0.1089656226401062,445,jeffreys_95,FAIL,True
oot,naive,D,20,0.00592970261649815,0.05,0.005449032581426599,0.2108186362492652,20,jeffreys_95,INSUFFICIENT,True
oot,naive,E,58,0.012308724260443717,0.017241379310344827,0.0018666435126974891,0.07775299185460914,58,jeffreys_95,INSUFFICIENT,True
oot,naive,F,101,0.023296297615474446,0.009900990099009901,0.0010703768005596204,0.04533496210032598,101,jeffreys_95,INSUFFICIENT,True
oot,naive,G,294,0.11503723171140998,0.10884353741496598,0.07709141114960291,0.14824730367596278,294,jeffreys_95,FAIL,True
