period,sma_class,upb,upb_lo,upb_hi,upb_n,upb_method,share,share_lo,share_hi,share_n,share_method,synthetic
1999-12-01,npa,,,,0,"none: suppressed, fewer than 10 loans",0.014694157410536523,,,135,none: balance share of the whole book,True
1999-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.036450146026467074,,,135,none: balance share of the whole book,True
1999-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.014666873731802674,,,135,none: balance share of the whole book,True
1999-12-01,standard_or_sma_0,25458006.61,,,127,"none: population count, not an estimate",0.9341888228311938,,,135,none: balance share of the whole book,True
2000-12-01,npa,,,,0,"none: suppressed, fewer than 10 loans",0.01540733329972925,,,277,none: balance share of the whole book,True
2000-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.018795243717979984,,,277,none: balance share of the whole book,True
2000-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.007218543227279155,,,277,none: balance share of the whole book,True
2000-12-01,standard_or_sma_0,52875996.91,,,266,"none: population count, not an estimate",0.9564506445382911,,,277,none: balance share of the whole book,True
2000-12-01,unknown,,,,0,"none: suppressed, fewer than 10 loans",0.002128235216720529,,,277,none: balance share of the whole book,True
2001-12-01,npa,4698938.14,,,18,"none: population count, not an estimate",0.06863619697591208,,,344,none: balance share of the whole book,True
2001-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.013737908922181862,,,344,none: balance share of the whole book,True
2001-12-01,standard_or_sma_0,62822060.4,,,321,"none: population count, not an estimate",0.917625894101906,,,344,none: balance share of the whole book,True
2002-12-01,npa,3808022.86,,,19,"none: population count, not an estimate",0.05064153795301839,,,387,none: balance share of the whole book,True
2002-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.011794024484562649,,,387,none: balance share of the whole book,True
2002-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.00416307687188001,,,387,none: balance share of the whole book,True
2002-12-01,standard_or_sma_0,70187712.75,,,361,"none: population count, not an estimate",0.9334013606905389,,,387,none: balance share of the whole book,True
2003-12-01,npa,1988556.43,,,13,"none: population count, not an estimate",0.025393836419602644,,,396,none: balance share of the whole book,True
2003-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.015110477551842973,,,396,none: balance share of the whole book,True
2003-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.006917132506206868,,,396,none: balance share of the whole book,True
2003-12-01,standard_or_sma_0,74595117.35,,,374,"none: population count, not an estimate",0.9525785535223473,,,396,none: balance share of the whole book,True
2004-12-01,npa,2483678.3,,,17,"none: population count, not an estimate",0.03125457061348256,,,419,none: balance share of the whole book,True
2004-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.018163682755737372,,,419,none: balance share of the whole book,True
2004-12-01,standard_or_sma_0,75539007.9,,,394,"none: population count, not an estimate",0.9505817466307803,,,419,none: balance share of the whole book,True
2005-12-01,npa,4473267.74,,,25,"none: population count, not an estimate",0.0514000342512636,,,456,none: balance share of the whole book,True
2005-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.01278238697695284,,,456,none: balance share of the whole book,True
2005-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.009502372970193693,,,456,none: balance share of the whole book,True
2005-12-01,standard_or_sma_0,80615820.35,,,422,"none: population count, not an estimate",0.9263152058015898,,,456,none: balance share of the whole book,True
2006-12-01,npa,5225686.35,,,25,"none: population count, not an estimate",0.052887675586285356,,,513,none: balance share of the whole book,True
2006-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.025300317325232725,,,513,none: balance share of the whole book,True
2006-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.0026182159908195676,,,513,none: balance share of the whole book,True
2006-12-01,standard_or_sma_0,90823020.56,,,477,"none: population count, not an estimate",0.9191937910976623,,,513,none: balance share of the whole book,True
2007-12-01,npa,7960098.74,,,37,"none: population count, not an estimate",0.07758092337739528,,,535,none: balance share of the whole book,True
2007-12-01,sma_1,2546505.77,,,11,"none: population count, not an estimate",0.02481882140854762,,,535,none: balance share of the whole book,True
2007-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.009404029434309324,,,535,none: balance share of the whole book,True
2007-12-01,standard_or_sma_0,91132321.58,,,483,"none: population count, not an estimate",0.8881962257797478,,,535,none: balance share of the whole book,True
2008-12-01,npa,6609180.96,,,34,"none: population count, not an estimate",0.06485150510296904,,,532,none: balance share of the whole book,True
2008-12-01,sma_1,1668340.87,,,10,"none: population count, not an estimate",0.01637032139066999,,,532,none: balance share of the whole book,True
2008-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.013060113509785292,,,532,none: balance share of the whole book,True
2008-12-01,standard_or_sma_0,92304018.97,,,480,"none: population count, not an estimate",0.9057180599965757,,,532,none: balance share of the whole book,True
2009-12-01,npa,7353451.2700000005,,,40,"none: population count, not an estimate",0.08014279249145466,,,485,none: balance share of the whole book,True
2009-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.006562628172576566,,,485,none: balance share of the whole book,True
2009-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.0023975427539738767,,,485,none: balance share of the whole book,True
2009-12-01,standard_or_sma_0,83578781.85,,,439,"none: population count, not an estimate",0.9108970365819948,,,485,none: balance share of the whole book,True
2010-12-01,npa,5283647.55,,,26,"none: population count, not an estimate",0.062107157441938454,,,461,none: balance share of the whole book,True
2010-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.01468467100298818,,,461,none: balance share of the whole book,True
2010-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.019052577672530244,,,461,none: balance share of the whole book,True
2010-12-01,standard_or_sma_0,76919306.65,,,418,"none: population count, not an estimate",0.9041555938825432,,,461,none: balance share of the whole book,True
2011-12-01,npa,2302510.88,,,15,"none: population count, not an estimate",0.028211591296132755,,,447,none: balance share of the whole book,True
2011-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.014008309224316543,,,447,none: balance share of the whole book,True
2011-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.01068300696629312,,,447,none: balance share of the whole book,True
2011-12-01,standard_or_sma_0,77298062.95,,,424,"none: population count, not an estimate",0.9470970925132576,,,447,none: balance share of the whole book,True
2012-12-01,npa,2917978.7,,,18,"none: population count, not an estimate",0.04036838252377931,,,383,none: balance share of the whole book,True
2012-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.01708347136801628,,,383,none: balance share of the whole book,True
2012-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.005479939052870816,,,383,none: balance share of the whole book,True
2012-12-01,standard_or_sma_0,67734818.63,,,359,"none: population count, not an estimate",0.9370682070553336,,,383,none: balance share of the whole book,True
2013-12-01,npa,2555341.25,,,13,"none: population count, not an estimate",0.035647774634315975,,,378,none: balance share of the whole book,True
2013-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.004581379350517457,,,378,none: balance share of the whole book,True
2013-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.012127208271726933,,,378,none: balance share of the whole book,True
2013-12-01,standard_or_sma_0,67589083.61,,,356,"none: population count, not an estimate",0.9428879294572573,,,378,none: balance share of the whole book,True
